Name                                              	ID                  	Nametype                 	Recclass                 	Mass                	Fall                	Year                	Reclat              	Reclong             	Geolocation                   	State               	Countries                     
Araslanovo                                        	2324                	Valid                    	L/LL5                    	132000.0            	Found               	1973                	55.14167            	48.2                	"(55.14167, 48.2)"            	                    	                              
Arispe                                            	2332                	Valid                    	"Iron, IC"               	683000.0            	Found               	1896                	30.33333            	-109.98333          	"(30.33333, -109.98333)"      	                    	                              
Armanty                                           	2335                	Valid                    	"Iron, IIIE"             	28000000.0          	Found               	1898                	47                  	88                  	"(47.0, 88.0)"                	                    	                              
Arriba                                            	2339                	Valid                    	L5                       	31100.0             	Found               	1936                	39.3                	-103.25             	"(39.3, -103.25)"             	9                   	30                            
Ashmore                                           	2349                	Valid                    	H5                       	55400.0             	Found               	1969                	32.9                	-102.28333          	"(32.9, -102.28333)"          	23                  	3192                          
Asuka 87251                                       	2608                	Valid                    	LL6                      	46000.0             	Found               	1987                	-72                 	26                  	"(-72.0, 26.0)"               	                    	                              
Cumulus Hills 04069                               	32525               	Valid                    	Pallasite                	44700.0             	Found               	2003                	                    	                    	                              	                    	                              
Augusta County                                    	4897                	Valid                    	"Iron, IIIAB"            	76000.0             	Found               	1858                	38.16667            	-79.08333           	"(38.16667, -79.08333)"       	40                  	2949                          
Augustinovka                                      	4898                	Valid                    	"Iron, IIIAB"            	400000.0            	Found               	1890                	48.06667            	35.08333            	"(48.06667, 35.08333)"        	                    	                              
Avoca (Western Australia)                         	4909                	Valid                    	"Iron, IIIAB"            	37850.0             	Found               	1966                	-30.85              	122.31667           	"(-30.85, 122.31667)"         	                    	                              
Babb's Mill (Blake's Iron)                        	4915                	Valid                    	"Iron, ungrouped"        	136000.0            	Found               	1876                	36.3                	-82.88333           	"(36.3, -82.88333)"           	39                  	2047                          
Bacubirito                                        	4919                	Valid                    	"Iron, ungrouped"        	22000000.0          	Found               	1863                	26.2                	-107.83333          	"(26.2, -107.83333)"          	                    	                              
Bagnone                                           	4921                	Valid                    	"Iron, IIIAB"            	48000.0             	Found               	1904                	44.31667            	9.98333             	"(44.31667, 9.98333)"         	                    	                              
Ballinoo                                          	4931                	Valid                    	"Iron, IIC"              	42200.0             	Found               	1892                	-27.7               	115.76667           	"(-27.7, 115.76667)"          	                    	                              
Balsas                                            	4932                	Valid                    	"Iron, IIIAB"            	41000.0             	Found               	1974                	-7.53133            	-46.04117           	"(-7.53133, -46.04117)"       	                    	                              
Barratta                                          	4951                	Valid                    	L4                       	200000.0            	Found               	1845                	-35.3               	144.56667           	"(-35.3, 144.56667)"          	                    	                              
Bayard                                            	4978                	Valid                    	L5                       	75000.0             	Found               	1982                	41.81667            	-103.36667          	"(41.81667, -103.36667)"      	19                  	473                           
Baygorria                                         	4980                	Valid                    	"Iron, IAB complex"      	80000.0             	Found               	1994                	-33                 	-56                 	"(-33.0, -56.0)"              	                    	                              
Bear Creek                                        	4982                	Valid                    	"Iron, IIIAB"            	227000.0            	Found               	1866                	39.6                	-105.3              	"(39.6, -105.3)"              	9                   	1008                          
Bear Lodge                                        	4983                	Valid                    	"Iron, IIIAB"            	48500.0             	Found               	1931                	44.5                	-104.2              	"(44.5, -104.2)"              	14                  	3083                          
Bechar 001                                        	4988                	Valid                    	L6                       	39000.0             	Found               	1998                	30.83333            	-3.33333            	"(30.83333, -3.33333)"        	                    	                              
Beenham                                           	4995                	Valid                    	L5                       	44400.0             	Found               	1937                	36.21667            	-103.65             	"(36.21667, -103.65)"         	11                  	1994                          
Bella Roca                                        	5003                	Valid                    	"Iron, IIIAB"            	33000.0             	Found               	1888                	24.9                	-105.4              	"(24.9, -105.4)"              	                    	                              
Belle Plaine                                      	5004                	Valid                    	L6                       	78800.0             	Found               	1950                	37.31667            	-97.25              	"(37.31667, -97.25)"          	17                  	1297                          
Bellsbank                                         	5006                	Valid                    	"Iron, IIG"              	38000.0             	Found               	1955                	-28.08333           	24.08333            	"(-28.08333, 24.08333)"       	                    	                              
Bencubbin                                         	5014                	Valid                    	CBa                      	118000.0            	Found               	1930                	-30.75              	117.78333           	"(-30.75, 117.78333)"         	                    	                              
Bendeg�                                         	5015                	Valid                    	"Iron, IC"               	5360000.0           	Found               	1784                	-10.11667           	-39.2               	"(-10.11667, -39.2)"          	                    	                              
Benjamin                                          	5020                	Valid                    	H4/5                     	51800.0             	Found               	1969                	33.58333            	-99.8               	"(33.58333, -99.8)"           	23                  	2786                          
Bennett County                                    	5022                	Valid                    	"Iron, IIAB"             	89000.0             	Found               	1934                	43.5                	-101.25             	"(43.5, -101.25)"             	21                  	2681                          
Bilibino                                          	5046                	Valid                    	"Iron, IIAB"             	1000000.0           	Found               	1981                	67.3                	160.8               	"(67.3, 160.8)"               	                    	                              
Bischt�be                                       	5057                	Valid                    	"Iron, IAB-sLL"          	48250.0             	Found               	1888                	51.95               	62.2                	"(51.95, 62.2)"               	                    	                              
Bitburg                                           	5062                	Valid                    	"Iron, IAB complex"      	1500000.0           	Found               	1805                	49.96667            	6.53333             	"(49.96667, 6.53333)"         	                    	                              
Bledsoe                                           	5074                	Valid                    	H4                       	30500.0             	Found               	1970                	33.59167            	-103.02667          	"(33.59167, -103.02667)"      	11                  	830                           
Bluff (a)                                         	5087                	Valid                    	L5                       	153300.0            	Found               	1878                	29.87861            	-96.87222           	"(29.87861, -96.87222)"       	23                  	844                           
Bocaiuva                                          	5092                	Valid                    	"Iron, ungrouped"        	64000.0             	Found               	1965                	-17.16667           	-43.83333           	"(-17.16667, -43.83333)"      	                    	                              
Bohumilitz                                        	5099                	Valid                    	"Iron, IAB-MG"           	59000.0             	Found               	1829                	49.05               	13.76667            	"(49.05, 13.76667)"           	                    	                              
Bondoc                                            	5103                	Valid                    	Mesosiderite-B4          	888600.0            	Found               	1956                	13.51667            	122.45              	"(13.51667, 122.45)"          	                    	                              
Bonita Springs                                    	5104                	Valid                    	H5                       	41800.0             	Found               	1938                	26.26667            	-81.75              	"(26.26667, -81.75)"          	30                  	1057                          
Bou Azarif                                        	53812               	Valid                    	H5                       	100000.0            	Found               	2010                	31.15643            	-5.15262            	"(31.15643, -5.15262)"        	                    	                              
Boxhole                                           	5126                	Valid                    	"Iron, IIIAB"            	500000.0            	Found               	1937                	-22.61667           	135.2               	"(-22.61667, 135.2)"          	                    	                              
Brahin                                            	5130                	Valid                    	"Pallasite, PMG"         	823000.0            	Found               	1810                	52.5                	30.33333            	"(52.5, 30.33333)"            	                    	                              
Brainard                                          	5131                	Valid                    	"Iron, IIIAB"            	138300.0            	Found               	1978                	41.15333            	-96.955             	"(41.15333, -96.955)"         	19                  	2196                          
Brenham                                           	5136                	Valid                    	"Pallasite, PMG-an"      	4300000.0           	Found               	1882                	37.5825             	-99.16361           	"(37.5825, -99.16361)"        	17                  	1238                          
Broken Hill                                       	5146                	Valid                    	L6                       	34000.0             	Found               	1994                	-31.83333           	141.76667           	"(-31.83333, 141.76667)"      	                    	                              
Brownfield (1937)                                 	5151                	Valid                    	H3.7                     	40960.0             	Found               	1937                	33.21667            	-102.18333          	"(33.21667, -102.18333)"      	23                  	801                           
Bruceville                                        	5155                	Valid                    	L6                       	83000.0             	Found               	1998                	38.295              	-121.405            	"(38.295, -121.405)"          	8                   	77                            
Buck Mountains 003                                	44705               	Valid                    	L6                       	34200.0             	Found               	2005                	34.7345             	-114.21717          	"(34.7345, -114.21717)"       	7                   	8                             
Budulan                                           	5161                	Valid                    	Mesosiderite-B4          	100000.0            	Found               	1962                	50.56667            	114.9               	"(50.56667, 114.9)"           	                    	                              
Buenaventura                                      	5162                	Valid                    	"Iron, IIIAB"            	113600.0            	Found               	1969                	29.8                	-107.55             	"(29.8, -107.55)"             	                    	                              
Bunjil                                            	5164                	Valid                    	L6                       	38750.0             	Found               	1971                	-29.62917           	116.48222           	"(-29.62917, 116.48222)"      	                    	                              
Bur-Abor                                          	5166                	Valid                    	"Iron, IIIAB"            	290000.0            	Found               	1997                	3.98333             	41.65               	"(3.98333, 41.65)"            	                    	                              
Burlington                                        	5172                	Valid                    	"Iron, IIIE"             	68000.0             	Found               	1819                	42.75               	-75.18333           	"(42.75, -75.18333)"          	47                  	2136                          
Butler                                            	5182                	Valid                    	"Iron, ungrouped"        	41000.0             	Found               	1874                	38.3                	-94.36667           	"(38.3, -94.36667)"           	18                  	2651                          
Cacaria                                           	5188                	Valid                    	"Iron, IIIAB"            	41400.0             	Found               	1867                	24.5                	-104.8              	"(24.5, -104.8)"              	                    	                              
Calliham                                          	5201                	Valid                    	L6                       	40000.0             	Found               	1958                	28.41667            	-98.25              	"(28.41667, -98.25)"          	23                  	2793                          
Camp Wood                                         	51830               	Valid                    	"Iron, IIIAB"            	148000.0            	Found               	None                	29.7725             	-99.875             	"(29.7725, -99.875)"          	23                  	2859                          
Campinorte                                        	52093               	Valid                    	"Iron, ungrouped"        	2000000.0           	Found               	1992                	-14.258             	-49.15917           	"(-14.258, -49.15917)"        	                    	                              
Campo del Cielo                                   	5247                	Valid                    	"Iron, IAB-MG"           	50000000.0          	Found               	1575                	-27.46667           	-60.58333           	"(-27.46667, -60.58333)"      	                    	                              
Canyon Diablo                                     	5257                	Valid                    	"Iron, IAB-MG"           	30000000.0          	Found               	1891                	35.05               	-111.03333          	"(35.05, -111.03333)"         	7                   	986                           
Cape of Good Hope                                 	5261                	Valid                    	"Iron, IVB"              	136000.0            	Found               	1793                	-33.5               	26                  	"(-33.5, 26.0)"               	                    	                              
Cape York                                         	5262                	Valid                    	"Iron, IIIAB"            	58200000.0          	Found               	1818                	76.13333            	-64.93333           	"(76.13333, -64.93333)"       	                    	                              
Caperr                                            	5263                	Valid                    	"Iron, IIIAB"            	113900.0            	Found               	1869                	-45.28333           	-70.48333           	"(-45.28333, -70.48333)"      	                    	                              
Capot Rey                                         	30449               	Valid                    	H5                       	38000.0             	Found               	2004                	20.12593            	10.2056             	"(20.12593, 10.2056)"         	                    	                              
Carbo                                             	5266                	Valid                    	"Iron, IID"              	454000.0            	Found               	1923                	29.66667            	-111.5              	"(29.66667, -111.5)"          	                    	                              
Carlton                                           	5277                	Valid                    	"Iron, IAB-sLM"          	81200.0             	Found               	1887                	31.91667            	-98.03333           	"(31.91667, -98.03333)"       	23                  	752                           
Carnegie                                          	5278                	Valid                    	L6                       	132700.0            	Found               	1963                	35.16667            	-98.64389           	"(35.16667, -98.64389)"       	20                  	2313                          
Carraweena                                        	5281                	Valid                    	L3.9                     	31600.0             	Found               	1914                	-29.23333           	139.93333           	"(-29.23333, 139.93333)"      	                    	                              
Carthage                                          	5282                	Valid                    	"Iron, IIIAB"            	127000.0            	Found               	1840                	36.26667            	-85.98333           	"(36.26667, -85.98333)"       	39                  	2112                          
Carver                                            	5284                	Valid                    	"Iron, IIAB"             	94000.0             	Found               	1935                	32                  	-86                 	"(32.0, -86.0)"               	29                  	1593                          
Casas Grandes                                     	5285                	Valid                    	"Iron, IIIAB"            	1545000.0           	Found               	1867                	30.4                	-107.8              	"(30.4, -107.8)"              	                    	                              
Charcas                                           	5326                	Valid                    	"Iron, IIIAB"            	1400000.0           	Found               	1804                	23.08333            	-101.01667          	"(23.08333, -101.01667)"      	                    	                              
Chebankol                                         	5335                	Valid                    	"Iron, IAB-sHL"          	127760.0            	Found               	1938                	53.66667            	88                  	"(53.66667, 88.0)"            	                    	                              
Chico                                             	5346                	Valid                    	L6                       	104800.0            	Found               	1954                	36.5                	-104.2              	"(36.5, -104.2)"              	11                  	2537                          
Chihuahua City                                    	5350                	Valid                    	"Iron, IC"               	54000.0             	Found               	1929                	28.66667            	-106.11667          	"(28.66667, -106.11667)"      	                    	                              
Chilkoot                                          	5351                	Valid                    	"Iron, IIIAB"            	43000.0             	Found               	1881                	59.33333            	-136                	"(59.33333, -136.0)"          	51                  	1674                          
Chinga                                            	5353                	Valid                    	"Iron, ungrouped"        	209400.0            	Found               	1913                	51.05833            	94.4                	"(51.05833, 94.4)"            	                    	                              
Chupaderos                                        	5363                	Valid                    	"Iron, IIIAB"            	24300000.0          	Found               	1852                	27                  	-105.1              	"(27.0, -105.1)"              	                    	                              
Cleveland                                         	5379                	Valid                    	"Iron, IIIAB"            	115000.0            	Found               	1860                	34.88333            	-84.78333           	"(34.88333, -84.78333)"       	31                  	1473                          
Clovis (no. 1)                                    	5385                	Valid                    	H3.6                     	283000.0            	Found               	1961                	34.3                	-103.13472          	"(34.3, -103.13472)"          	11                  	1987                          
Clovis (no. 2)                                    	5386                	Valid                    	L6                       	41300.0             	Found               	1963                	34.3                	-103.13333          	"(34.3, -103.13333)"          	11                  	1987                          
Coahuila                                          	5387                	Valid                    	"Iron, IIAB"             	2100000.0           	Found               	1837                	28.7                	-102.73333          	"(28.7, -102.73333)"          	                    	                              
Coffeyville                                       	51051               	Valid                    	H5                       	35900.0             	Found               	2006                	37.01667            	-95.66667           	"(37.01667, -95.66667)"       	17                  	1247                          
Colomera                                          	5404                	Valid                    	"Iron, IIE"              	134000.0            	Found               	1912                	37.43333            	-3.65               	"(37.43333, -3.65)"           	                    	                              
Concho                                            	5417                	Valid                    	L6                       	93500.0             	Found               	1939                	32                  	-101.5              	"(32.0, -101.5)"              	23                  	747                           
Cook 001                                          	5421                	Valid                    	H5                       	105000.0            	Found               	1989                	-30.33333           	130.53333           	"(-30.33333, 130.53333)"      	                    	                              
Cook 007                                          	5427                	Valid                    	H4                       	100000.0            	Found               	1989                	-30.61667           	130.41667           	"(-30.61667, 130.41667)"      	                    	                              
Cosby's Creek                                     	5450                	Valid                    	"Iron, IAB-MG"           	960000.0            	Found               	1837                	35.78333            	-83.25              	"(35.78333, -83.25)"          	39                  	2002                          
Costilla Peak                                     	5453                	Valid                    	"Iron, IIIAB"            	35500.0             	Found               	1881                	36.83333            	-105.23333          	"(36.83333, -105.23333)"      	11                  	1993                          
Covert                                            	5456                	Valid                    	H5                       	61000.0             	Found               	1896                	39.2                	-98.78333           	"(39.2, -98.78333)"           	17                  	1253                          
Crab Orchard                                      	5461                	Valid                    	Mesosiderite-A1          	48500.0             	Found               	1887                	35.83333            	-84.91667           	"(35.83333, -84.91667)"       	39                  	2004                          
Cranbourne                                        	5463                	Valid                    	"Iron, IAB-MG"           	8600000.0           	Found               	1854                	-38.1               	145.3               	"(-38.1, 145.3)"              	                    	                              
Cuero                                             	5493                	Valid                    	H5                       	46500.0             	Found               	1936                	29.01667            	-97.28333           	"(29.01667, -97.28333)"       	23                  	3165                          
Dalgety Downs                                     	5507                	Valid                    	L4                       	257000.0            	Found               	1941                	-25.33333           	116.18333           	"(-25.33333, 116.18333)"      	                    	                              
Dalton                                            	5509                	Valid                    	"Iron, IIIAB"            	53000.0             	Found               	1879                	34.8                	-84.98333           	"(34.8, -84.98333)"           	31                  	1620                          
Dar al Gani 610                                   	6157                	Valid                    	H4                       	44000.0             	Found               	1998                	26.85               	16.73333            	"(26.85, 16.73333)"           	                    	                              
Dar al Gani 749                                   	6296                	Valid                    	CO3                      	95000.0             	Found               	1999                	27.30167            	15.7645             	"(27.30167, 15.7645)"         	                    	                              
Davis Mountains                                   	6615                	Valid                    	"Iron, IIIAB"            	689000.0            	Found               	1903                	30.75               	-104.25             	"(30.75, -104.25)"            	23                  	762                           
Davy (a)                                          	6616                	Valid                    	L4                       	50600.0             	Found               	1940                	29.1                	-97.6               	"(29.1, -97.6)"               	23                  	3165                          
Densmore (1879)                                   	6656                	Valid                    	L6                       	37200.0             	Found               	1879                	39.65               	-99.68333           	"(39.65, -99.68333)"          	17                  	1252                          
Derrick Peak 88017                                	6668                	Valid                    	"Iron, IIAB"             	63000.0             	Found               	1988                	-80.06667           	156.38333           	"(-80.06667, 156.38333)"      	                    	                              
Derrick Peak A78008                               	6684                	Valid                    	"Iron, IIAB"             	59400.0             	Found               	1978                	-80.06667           	156.38333           	"(-80.06667, 156.38333)"      	                    	                              
Derrick Peak A78009                               	6685                	Valid                    	"Iron, IIAB"             	138100.0            	Found               	1978                	-80.06667           	156.38333           	"(-80.06667, 156.38333)"      	                    	                              
Derrick Peak A78011                               	6687                	Valid                    	"Iron, IIAB"             	31800.0             	Found               	1978                	-80.06667           	156.38333           	"(-80.06667, 156.38333)"      	                    	                              
Dhofar 005                                        	6704                	Valid                    	L6                       	125500.0            	Found               	2000                	18.16667            	54.16667            	"(18.16667, 54.16667)"        	                    	                              
Dhofar 020                                        	6719                	Valid                    	H4/5                     	256000.0            	Found               	2000                	19.03333            	54.51667            	"(19.03333, 54.51667)"        	                    	                              
Dhofar 1288                                       	34504               	Valid                    	H5                       	43600.0             	Found               	2004                	18.27833            	54.285              	"(18.27833, 54.285)"          	                    	                              
Dhofar 1289                                       	34505               	Valid                    	L4                       	37000.0             	Found               	2004                	18.63333            	54.42167            	"(18.63333, 54.42167)"        	                    	                              
Dhofar 1426                                       	35514               	Valid                    	H~5                      	42850.0             	Found               	2001                	19.173              	54.70407            	"(19.173, 54.70407)"          	                    	                              
Dhofar 1433                                       	45837               	Valid                    	H5                       	44790.0             	Found               	2006                	18.43333            	54.1                	"(18.43333, 54.1)"            	                    	                              
Dhofar 1565                                       	51570               	Valid                    	H5                       	43000.0             	Found               	2008                	18.2735             	54.21367            	"(18.2735, 54.21367)"         	                    	                              
Dhofar 1654                                       	55572               	Valid                    	L5                       	50000.0             	Found               	2011                	18.67877            	54.2876             	"(18.67877, 54.2876)"         	                    	                              
Dhofar 1700                                       	56325               	Valid                    	L6                       	39000.0             	Found               	2010                	18.86622            	54.67967            	"(18.86622, 54.67967)"        	                    	                              
Dimitrovgrad                                      	7644                	Valid                    	"Iron, IIIAB"            	100000.0            	Found               	1949                	43.04639            	22.86389            	"(43.04639, 22.86389)"        	                    	                              
Dimmitt                                           	7645                	Valid                    	H3.7                     	200000.0            	Found               	1942                	34.58333            	-102.16667          	"(34.58333, -102.16667)"      	23                  	828                           
Dix                                               	7651                	Valid                    	L6                       	44000.0             	Found               	1927                	41.23333            	-103.48333          	"(41.23333, -103.48333)"      	19                  	2301                          
Djebel Chaab 002                                  	7654                	Valid                    	LL6                      	30616.0             	Found               	2003                	25.15592            	0.82213             	"(25.15592, 0.82213)"         	                    	                              
Dronino                                           	7732                	Valid                    	"Iron, ungrouped"        	40000.0             	Found               	2000                	54.74667            	41.42167            	"(54.74667, 41.42167)"        	                    	                              
Drum Mountains                                    	7733                	Valid                    	"Iron, IIIAB"            	529000.0            	Found               	1944                	39.5                	-112.9              	"(39.5, -112.9)"              	13                  	898                           
Duketon                                           	7740                	Valid                    	"Iron, IIIAB"            	118300.0            	Found               	1948                	-27.5               	122.36667           	"(-27.5, 122.36667)"          	                    	                              
Dumas (a)                                         	7741                	Valid                    	H5                       	46050.0             	Found               	1956                	35.9                	-101.9              	"(35.9, -101.9)"              	23                  	780                           
Dunganville                                       	7748                	Valid                    	"Iron, IIIAB"            	54000.0             	Found               	1976                	-42.55              	171.35              	"(-42.55, 171.35)"            	                    	                              
Durango                                           	7751                	Valid                    	"Iron, IIIAB"            	164000.0            	Found               	1804                	                    	                    	                              	                    	                              
Eagle Station                                     	7761                	Valid                    	"Pallasite, PES"         	36000.0             	Found               	1880                	38.61667            	-84.96667           	"(38.61667, -84.96667)"       	36                  	1477                          
El Burro                                          	7793                	Valid                    	"Iron, IIAB"             	35900.0             	Found               	1939                	29.33333            	-101.83333          	"(29.33333, -101.83333)"      	                    	                              
El Hammami                                        	7806                	Valid                    	H5                       	240000.0            	Found               	1997                	23.28333            	-10.81667           	"(23.28333, -10.81667)"       	                    	                              
El Sampal                                         	7817                	Valid                    	"Iron, IIIAB"            	142000.0            	Found               	1973                	-44.53333           	-70.36667           	"(-44.53333, -70.36667)"      	                    	                              
El Simbolar                                       	7818                	Valid                    	Iron                     	40000.0             	Found               	1938                	-30.63333           	-64.88333           	"(-30.63333, -64.88333)"      	                    	                              
El Timbu                                          	7820                	Valid                    	Iron                     	500000.0            	Found               	1942                	-33.11667           	-60.96667           	"(-33.11667, -60.96667)"      	                    	                              
Esquel                                            	10054               	Valid                    	"Pallasite, PMG"         	755000.0            	Found               	1951                	-42.9               	-71.33333           	"(-42.9, -71.33333)"          	                    	                              
Estacado                                          	10057               	Valid                    	H6                       	290000.0            	Found               	1883                	33.9                	-101.75             	"(33.9, -101.75)"             	23                  	751                           
Ethiudna                                          	10060               	Valid                    	L4                       	74318.0             	Found               	1977                	-32.03333           	139.78333           	"(-32.03333, 139.78333)"      	                    	                              
Etosha                                            	10061               	Valid                    	"Iron, IC"               	110700.0            	Found               	1970                	-18.5               	16                  	"(-18.5, 16.0)"               	                    	                              
Etter                                             	10062               	Valid                    	L5                       	450000.0            	Found               	1965                	35.98333            	-101.9              	"(35.98333, -101.9)"          	23                  	780                           
Faith                                             	10071               	Valid                    	H5                       	105000.0            	Found               	1952                	45.33333            	-102.08333          	"(45.33333, -102.08333)"      	21                  	2728                          
Faucett                                           	10077               	Valid                    	H5                       	100000.0            	Found               	1966                	39.61667            	-94.86667           	"(39.61667, -94.86667)"       	18                  	2692                          
Finmarken                                         	10103               	Valid                    	"Pallasite, PMG"         	78300.0             	Found               	1902                	70                  	24                  	"(70.0, 24.0)"                	                    	                              
Florey                                            	10112               	Valid                    	H6                       	110800.0            	Found               	1978                	32.5225             	-102.705            	"(32.5225, -102.705)"         	23                  	815                           
Franconia                                         	10174               	Valid                    	H5                       	100000.0            	Found               	2002                	34.71637            	-114.22197          	"(34.71637, -114.22197)"      	7                   	8                             
Fukang                                            	34491               	Valid                    	"Pallasite, PMG"         	1003000.0           	Found               	2000                	44.43333            	87.63333            	"(44.43333, 87.63333)"        	                    	                              
Gan Gan                                           	10852               	Valid                    	"Iron, IVA"              	83000.0             	Found               	1984                	-42.66667           	-68.08333           	"(-42.66667, -68.08333)"      	                    	                              
Garabato                                          	10856               	Valid                    	H5                       	160000.0            	Found               	1995                	-28.86667           	-60.2               	"(-28.86667, -60.2)"          	                    	                              
Gebel Kamil                                       	52031               	Valid                    	"Iron, ungrouped"        	1600000.0           	Found               	2009                	22.01833            	26.08778            	"(22.01833, 26.08778)"        	                    	                              
Ghubara                                           	10911               	Valid                    	L5                       	1750000.0           	Found               	1954                	19.22778            	56.14278            	"(19.22778, 56.14278)"        	                    	                              
Gibeon                                            	10912               	Valid                    	"Iron, IVA"              	26000000.0          	Found               	1836                	-25.5               	18                  	"(-25.5, 18.0)"               	                    	                              
